time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable,mapName
1342388868087,        0,        0,       1,      -1,        62,            1,beard2
1342388868287,       12,     1528,     931,    -931,        30,            1,beard2
1342388868487,       13,     1628,    1681,   -1681,        28,            1,beard2
1342388868687,       14,     1677,    3031,   -3031,        27,            1,beard2
1342388868887,       15,     1726,    5444,   -5444,        26,            1,beard2
1342388869087,       15,     1916,    5444,   -5444,        22,            1,beard2
1342388869287,       16,     1960,    9698,   -9698,        21,            1,beard2
1342388869539,       16,     1960,    9698,   -9698,        21,            1,beard2
1342388869739,       17,     1960,   13262,  -13262,        21,            1,beard2
1342388869939,       17,     1960,   13262,  -13262,        21,            1,beard2
1342388870209,       17,     1960,   13262,  -13262,        21,            1,beard2
1342388870409,       18,     1960,   17032,  -17032,        21,            1,beard2
1342388870609,       18,     1960,   17032,  -17032,        21,            1,beard2
1342388870809,       18,     1960,   17032,  -17032,        21,            1,beard2
1342388871009,       18,     1960,   17006,  -17006,        21,            1,beard2
1342388871209,       19,     1968,   15563,  -15563,        21,            1,beard2
1342388871409,       19,     1968,   15563,  -15563,        21,            1,beard2
1342388871743,       19,     1968,   15563,  -15563,        21,            1,beard2
1342388871943,       19,     1968,   16422,  -16422,        21,            1,beard2
