time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351952904,        0,        0,       0,       0,         4,            1,
1342351953413,     6677,      275,     766,    1649,         0,            1,
1342351953657,     9486,      275,    1027,    2568,         0,            1,
1342351954029,    16068,      275,    1324,    4846,         0,            1,
1342351954303,    19440,      275,    1494,    5916,         0,            1,
1342351954676,    24847,      275,    1950,    7431,         0,            1,
1342351955193,    31547,      275,    2272,    9506,         0,            1,
1342351955533,    34295,      275,    2467,   10280,         0,            1,
1342351955831,    42212,      275,    3242,   12218,         0,            1,
1342351956083,    49756,      275,    3409,   14525,         0,            1,
1342351956308,    56752,      275,    3599,   16503,         0,            1,
1342351956666,    63899,      275,    3893,   18521,         0,            1,
1342351957335,    70507,      275,    4158,   20419,         0,            1,
1342351957602,    76782,      275,    4531,   22215,         0,            1,
1342351957856,    90703,      275,    5136,   25730,         0,            1,
1342351958270,    99122,      275,    5839,   27556,         0,            1,
1342351958482,   108461,      275,    6373,   29724,         0,            1,
1342351958880,   117537,      275,    7032,   31401,         0,            1,
1342351959108,   127347,      275,    7566,   33625,         0,            1,
1342351959329,   145542,      275,    8058,   38652,         0,            1,
1342351959573,   153220,      275,    8162,   40863,         0,            1,
1342351959810,   163432,      275,    8534,   43095,         0,            1,
1342351960064,   176592,      275,    8986,   46096,         0,            1,
1342351960345,   194265,      275,    9596,   49945,         0,            1,
1342351960664,   207177,      275,   10225,   52470,         0,            1,
1342351960874,   224371,      275,   10709,   56348,         0,            1,
1342351961100,   239916,      275,   11601,   59466,         0,            1,
1342351961314,   256306,      275,   12408,   63005,         0,            1,
1342351961544,   262152,      275,   12820,   63970,         0,            1,
1342351961787,   272746,      275,   13065,   66470,         0,            1,
1342351962005,   289895,      275,   13711,   70373,         0,            1,
1342351962226,   302867,      275,   14271,   73075,         0,            1,
1342351962542,   313302,      275,   14573,   75287,         0,            1,
1342351962824,   320559,      275,   14741,   77146,         0,            1,
1342351963078,   335883,      275,   14739,   81057,         0,            1,
1342351963311,   349896,      275,   14908,   84882,         0,            1,
1342351963536,   367715,      275,   15345,   88891,         0,            1,
1342351963756,   371556,      275,   15392,   89735,         0,            1,
1342351963970,   387219,      275,   16136,   92777,         0,            1,
1342351964242,   405435,      275,   16554,   96863,         0,            1,
1342351964459,   420385,      275,   16630,  100716,         0,            1,
1342351964680,   427264,      275,   16728,  101918,         0,            1,
1342351964899,   445539,      275,   16909,  105535,         0,            1,
1342351965126,   460938,      275,   16961,  108963,         0,            1,
1342351965370,   477957,      275,   17399,  112068,         0,            1,
1342351965639,   484821,      275,   17632,  113367,         0,            1,
1342351965853,   500712,      275,   18202,  116012,         0,            1,
1342351966068,   517948,      275,   18706,  119064,         0,            1,
1342351966275,   533261,      275,   18737,  122539,         0,            1,
1342351966769,   540834,      275,   18769,  123974,         0,            1,
1342351967041,   555259,      275,   19025,  127142,         0,            1,
1342351967268,   570000,      275,   19164,  130868,         0,            1,
1342351967499,   585348,      275,   19234,  134216,         0,            1,
1342351967808,   600972,      275,   19191,  138117,         0,            1,
1342351968008,   605260,      275,   19130,  139360,         0,            1,
