time         ,iter.    ,bestScore,live    ,dead    ,lambdaLeft,liftReachable
1342351634583,      275,      986,     164,     -31,         3,            0,
1342351634816,     1962,     1079,    1121,     -11,         0,            0,
1342351635023,     3253,     1079,    1853,       2,         0,            0,
1342351635238,     4930,     1079,    2799,    -137,         0,            0,
1342351635541,     6416,     1079,    3589,     -82,         0,            0,
1342351635817,     7576,     1079,    4166,     -58,         0,            0,
1342351636049,     8670,     1079,    4747,    -114,         0,            0,
1342351636335,     9796,     1079,    5465,     -99,         0,            0,
1342351636581,    11399,     1079,    6254,    -191,         0,            0,
1342351636903,    12231,     1079,    6811,    -218,         0,            0,
1342351637114,    13561,     1079,    7500,    -349,         0,            0,
1342351637337,    14731,     1079,    8235,    -328,         0,            0,
1342351637544,    15889,     1079,    8980,    -405,         0,            0,
1342351637769,    17263,     1079,    9749,    -431,         0,            0,
1342351638030,    19491,     1079,   10796,    -394,         0,            0,
1342351638264,    21221,     1079,   11747,    -364,         0,            0,
1342351638629,    22197,     1079,   12327,    -379,         0,            0,
1342351638891,    23486,     1079,   13093,    -435,         0,            0,
1342351639190,    24680,     1079,   13655,    -598,         0,            0,
1342351639449,    25401,     1079,   14040,    -690,         0,            0,
1342351639676,    27021,     1079,   15013,    -819,         0,            0,
1342351639898,    28263,     1079,   15941,    -887,         0,            0,
1342351640105,    29545,     1079,   16716,    -893,         0,            0,
1342351640308,    31109,     1079,   17693,    -945,         0,            0,
1342351640530,    32581,     1079,   18657,    -989,         0,            0,
1342351640791,    33842,     1079,   19448,   -1014,         0,            0,
1342351641026,    35754,     1079,   20445,   -1212,         0,            0,
1342351641412,    36458,     1079,   20848,   -1179,         0,            0,
1342351641643,    38353,     1079,   21964,   -1247,         0,            0,
1342351641873,    40192,     1079,   23057,   -1253,         0,            0,
1342351642099,    41099,     1079,   23609,   -1296,         0,            0,
1342351642326,    42988,     1079,   24763,   -1418,         0,            0,
1342351642558,    44450,     1079,   25576,   -1427,         0,            0,
1342351642772,    46303,     1079,   26574,   -1714,         0,            0,
1342351643039,    47759,     1079,   27362,   -1843,         0,            0,
1342351643284,    48763,     1079,   27971,   -1927,         0,            0,
1342351643528,    50658,     1079,   29076,   -1982,         0,            0,
1342351643736,    52397,     1079,   30031,   -2078,         0,            0,
1342351643955,    53698,     1079,   30811,   -2147,         0,            0,
1342351644167,    54901,     1079,   31574,   -2185,         0,            0,
1342351644456,    56662,     1079,   32579,   -2414,         0,            0,
1342351644678,    58257,     1079,   33556,   -2508,         0,            0,
1342351644908,    59951,     1079,   34507,   -2661,         0,            0,
1342351645117,    61005,     1079,   35100,   -2729,         0,            0,
1342351645346,    63142,     1079,   36289,   -2761,         0,            0,
1342351645916,    64672,     1079,   37289,   -2764,         0,            0,
1342351646152,    66272,     1079,   38235,   -2737,         0,            0,
1342351646394,    68053,     1079,   39352,   -2993,         0,            0,
1342351646624,    70031,     1079,   40423,   -3144,         0,            0,
1342351646952,    71042,     1079,   41084,   -3356,         0,            0,
1342351647178,    72900,     1079,   42078,   -3316,         0,            0,
1342351647468,    74489,     1079,   43031,   -3467,         0,            0,
1342351647724,    75892,     1079,   43971,   -3456,         0,            0,
1342351647933,    77410,     1079,   44909,   -3454,         0,            0,
1342351648188,    77688,     1079,   45101,   -3430,         0,            0,
1342351648392,    79031,     1079,   45871,   -3586,         0,            0,
1342351648635,    81151,     1079,   46984,   -3679,         0,            0,
1342351648874,    83007,     1079,   48085,   -3680,         0,            0,
1342351649256,    84357,     1079,   49009,   -3828,         0,            0,
1342351649510,    86383,     1079,   49991,   -3810,         0,            0,
1342351649710,    86383,     1079,   49992,   -3811,         0,            0,
