time         ,iter.    ,bestScore,live    ,dead
1342298793057,        0,        0,       1,      -1
1342298793257,    70424,      210,    2110,   13853
1342298793457,   100832,      210,    2586,   19731
1342298793657,   166379,      210,    3119,   30958
1342298793857,   206413,      210,    3068,   37518
1342298794057,   272728,      210,    3637,   48661
1342298794265,   309147,      210,    3581,   54039
1342298794465,   374762,      210,    3685,   62561
1342298794672,   418901,      210,    3612,   68847
1342298794872,   485105,      210,    3596,   77982
1342298795073,   518908,      210,    3613,   83381
1342298795273,   573171,      210,    3600,   90617
1342298795995,   619271,      210,    4101,   96073
1342298796195,   687610,      210,    4175,  104602
1342298796397,   731042,      210,    4250,  111754
1342298796601,   795000,      210,    4152,  115693
1342298796801,   831422,      210,    4054,  118493
1342298797002,   897902,      210,    3987,  124811
1342298797202,   935989,      210,    3920,  128901
1342298797402,   995666,      210,    4175,  135188
1342298797602,  1032470,      210,    4155,  138717
1342298797802,  1100259,      210,    4146,  145259
1342298798009,  1142979,      210,    4125,  149675
1342298798210,  1158018,      210,    4089,  150817
