time         ,iter.    ,bestScore,live    ,dead
1342345821201,        0,        0,       1,      -1
1342345821401,    56156,       67,    4589,   -4358
1342345821601,    98715,       67,    7128,   -6897
1342345821801,   160169,       67,    8802,   -8571
1342345822001,   212912,       67,   11425,  -11194
1342345822201,   273866,       67,   13294,  -13063
1342345822401,   331258,       67,   15263,  -15032
1342345822601,   385834,       67,   17104,  -16873
1342345822801,   446660,       67,   19557,  -19326
1342345823002,   503869,       67,   21047,  -20816
1342345823205,   569079,       67,   22084,  -21853
1342345823405,   624648,       67,   23495,  -23264
1342345823633,   684237,       67,   25237,  -25006
1342345823833,   745630,       67,   27604,  -27373
1342345824033,   794456,       67,   29121,  -28890
1342345824233,   858476,       67,   30129,  -29899
1342345824433,   912023,       67,   31569,  -31338
1342345824633,   974060,       67,   33089,  -32858
1342345824834,  1022302,       67,   35041,  -34810
1342345825034,  1085688,       67,   36198,  -35967
1342345825237,  1137404,       67,   37614,  -37383
1342345825457,  1192129,       67,   39458,  -39227
1342345825657,  1254920,       67,   41024,  -40793
1342345825857,  1301373,       67,   41718,  -41487
1342345826057,  1363995,       67,   42849,  -42618
1342345826259,  1412296,       67,   43845,  -43614
1342345826459,  1476243,       67,   44825,  -44594
1342345826667,  1525000,       67,   46127,  -45896
1342345826922,  1588494,       67,   47667,  -47436
1342345827122,  1651382,       67,   48883,  -48651
1342345827323,  1694764,       67,   49845,  -49614
1342345827523,  1757588,       67,   51132,  -50901
1342345827723,  1803669,       67,   52423,  -52192
1342345827980,  1863529,       67,   54997,  -54766
1342345828180,  1926070,       67,   56786,  -56555
1342345828380,  1968773,       67,   58279,  -58049
1342345828580,  2030733,       67,   59705,  -59474
1342345828780,  2077114,       67,   60646,  -60415
1342345829001,  2124704,       67,   61675,  -61444
1342345829201,  2186415,       67,   63769,  -63538
1342345829401,  2229389,       67,   65142,  -64911
1342345829604,  2291951,       67,   66803,  -66572
1342345829810,  2338133,       67,   67937,  -67706
1342345830010,  2382673,       67,   68796,  -68565
1342345830210,  2445343,       67,   70132,  -69901
1342345830410,  2490484,       67,   70835,  -70604
1342345830670,  2554373,       67,   71912,  -71681
1342345830870,  2617970,       67,   73057,  -72826
1342345831070,  2660057,       67,   73996,  -73765
1342345831270,  2722623,       67,   75651,  -75420
1342345831470,  2765360,       67,   76463,  -76232
1342345831680,  2816475,       67,   77657,  -77426
1342345831880,  2879224,       67,   79114,  -78883
1342345832080,  2924603,       67,   79956,  -79725
1342345832280,  2987058,       67,   81439,  -81208
1342345832481,  3033686,       67,   82511,  -82280
1342345832693,  3086245,       67,   83500,  -83269
1342345832893,  3148816,       67,   84893,  -84662
1342345833093,  3192951,       67,   85769,  -85538
1342345833293,  3256051,       67,   87243,  -87012
1342345833493,  3299110,       67,   88091,  -87861
1342345833754,  3363406,       67,   89335,  -89104
1342345833954,  3425775,       67,   90955,  -90724
1342345834668,  3456579,       67,   91455,  -91224
1342345834868,  3519254,       67,   92916,  -92685
1342345835068,  3579815,       67,   94210,  -93979
1342345835268,  3642336,       67,   95451,  -95220
1342345835468,  3702457,       67,   96821,  -96590
1342345835668,  3760000,       67,   98417,  -98186
1342345835868,  3823317,       67,   99760,  -99529
1342345836068,  3880316,       67,  100781, -100551
1342345836268,  3919041,       67,  101953, -101722
