time         ,iter.    ,bestScore,live    ,dead
1342298852432,     2310,      134,     320,     670
1342298852642,    64631,      134,    5412,   16450
1342298852856,   139821,      134,    7205,   37205
1342298853056,   170630,      134,    7427,   45495
1342298853256,   242033,      134,    9644,   62097
1342298853461,   278989,      134,   11381,   70344
1342298853661,   343567,      134,   14424,   83881
1342298853861,   366890,      134,   15179,   89006
1342298854186,   430000,      134,   17253,  102988
1342298854387,   491133,      134,   17372,  118333
1342298855165,   515044,      134,   17656,  124394
1342298855365,   579923,      134,   17604,  140532
1342298855567,   624935,      134,   17741,  151389
1342298855836,   683875,      134,   18526,  162678
1342298856036,   746822,      134,   20145,  175041
1342298856263,   766829,      134,   20630,  179239
1342298856463,   832366,      134,   22799,  190895
1342298856664,   865611,      134,   22944,  198615
1342298856864,   935880,      134,   23016,  211768
1342298857064,   970158,      134,   23102,  220191
1342298857330,  1024677,      134,   23405,  230513
1342298857530,  1055397,      134,   23333,  236546
