time         ,iter.    ,bestScore,live    ,dead
1342345612915,        0,        0,       1,      -1
1342345613152,    48763,      135,    1535,   14121
1342345613352,   101256,      135,    1475,   27639
1342345613896,   142792,      135,    1764,   35760
1342345614096,   197028,      135,    1779,   47174
1342345614296,   225891,      135,    1207,   55016
1342345614497,   279127,      135,    1219,   66141
1342345614697,   301993,      135,    1204,   71535
1342345614899,   357218,      135,    1214,   81262
1342345615099,   378355,      135,     723,   85723
1342345615299,   429171,      135,     161,   98144
1342345615503,   443933,      135,     123,  101063
1342345615703,   497907,      135,      18,  111938
1342345615903,   514585,      135,       0,  117271
