time         ,iter.    ,bestScore,live    ,dead
1342298292732,        0,        0,       1,      -1
1342298292933,    38335,       22,    4499,    1071
1342298293135,    99212,       22,   11677,     -38
1342298293400,   143895,       22,   16607,   -1212
1342298293600,   182006,       22,   21002,   -2646
1342298293800,   234216,       22,   26912,   -5009
1342298294004,   261519,       22,   29870,   -5991
1342298294204,   316656,       22,   36182,   -8582
1342298294404,   372976,       22,   42229,  -11514
1342298294604,   390966,       22,   44064,  -12226
1342298294807,   436624,       22,   49063,  -14162
1342298295008,   492974,       22,   55333,  -17309
1342298296845,   503061,       22,   56426,  -17868
1342298297045,   555869,       22,   62481,  -20853
1342298297245,   608421,       22,   68411,  -23970
1342298297758,   619936,       22,   69563,  -24587
1342298297958,   671825,       22,   75399,  -27709
1342298298158,   720828,       22,   80772,  -30532
1342298298392,   739691,       22,   82818,  -32014
1342298298592,   783904,       22,   87657,  -34709
1342298298792,   831349,       22,   92592,  -37941
1342298299022,   859665,       22,   95620,  -39826
1342298299222,   912262,       22,  101374,  -43122
1342298299422,   965638,       22,  107657,  -47018
1342298299622,   979468,       22,  109207,  -48022
1342298299822,  1037612,       22,  115431,  -52651
1342298300022,  1091113,       22,  120966,  -56041
1342298300224,  1100773,       22,  122034,  -56506
1342298300425,  1161002,       22,  128373,  -61006
1342298300986,  1219111,       22,  135228,  -66168
1342298301186,  1281136,       22,  142076,  -70884
1342298301386,  1338430,       22,  148102,  -74876
1342298301586,  1355548,       22,  149796,  -75797
1342298301786,  1416041,       22,  155934,  -79991
1342298302314,  1461973,       22,  160871,  -83204
1342298302514,  1524783,       22,  167736,  -87821
1342298302877,  1583126,       22,  174072,  -92560
1342298303077,  1583126,       22,  174072,  -92560
